key,deviceID,date,sceneName,currentGame,timeElapsed,upgradeAmount,speedUpgrade,infectionRateUpgrade,infectionRadiusUpgrade,UpgradeSystemExpandedOrCollapsed,UpgradeSystemInteractions,InfectionPercentage,BTesting
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,15.016925811767578,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,30.04804229736328,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,38.179832458496094,1,0,1,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,38.413055419921875,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,45.07865524291992,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,53.34389877319336,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,10.651660919189453,1,1,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,15.01744556427002,1,1,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,27.082176208496094,2,1,1,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,30.048179626464844,2,1,1,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,37.17998504638672,2,1,1,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,15.017424583435059,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,1,21.68292808532715,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,15.017827987670898,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,30.03275489807129,0,0,0,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,32.932559967041016,1,0,1,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,33.1328125,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,45.06362533569336,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,60.0942497253418,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,75.12579345703125,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,90.15680694580078,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,105.18744659423828,2,0,2,,,,,
my_unique_key,f2906b7eb58ff68a14ca7cd878f89ca3,,,2,114.45223999023438,2,0,2,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,2.979084014892578,1,0,1,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,15.000527381896973,1,0,1,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,30.000654220581055,1,0,1,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,45.00122833251953,1,0,1,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,15.000682830810547,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,30.001779556274414,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,45.00316619873047,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,60.00361251831055,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,15.000848770141602,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,15.000787734985352,1,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,30.001548767089844,2,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,45.002418518066406,3,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,60.002742767333984,3,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,75.00262451171875,3,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,90.00274658203125,4,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,15.001036643981934,0,0,0,,,,,
my_unique_key,0a6d21d64faca3cabf6cf200d9b344ff393b3186,,,1,30.002010345458984,0,0,0,,,,,
